game_id,event_id,period,clock,description,fouled_player_name,fouled_team_tricode,committing_player_name,committing_team_tricode,caller_official_name,landing_foul,note,timestamp
0022100250,201,2,PT10M51.00S,"White S.FOUL (P1.T1) (M.Kogut)","A. Burks",NYK,"C. White",CHI,M.Kogut,NO,"Arm contact slightly after the shot but not near a landing area",2026-06-29T15:01:15.322Z
0022100375,585,4,PT00M56.80S,"Ingram S.FOUL (P5.PN) (Z.Zarba)","M. Morris",DEN,"B. Ingram",NOP,Z.Zarba,YES,"",2026-06-29T15:01:22.291Z
0022400778,157,1,PT01M25.00S,"Highsmith S.FOUL (P1.PN) (B.Nansel)","S. Gilgeous-Alexander",OKC,"H. Highsmith",MIA,B.Nansel,YES,"",2026-06-29T15:01:28.841Z
0021900262,327,2,PT01M29.00S,"Teague S.FOUL (P2.PN) (N.Green)","P. Mills",SAS,"J. Teague",MIN,N.Green,NO,"",2026-06-29T15:01:51.365Z
0022101050,534,4,PT09M21.00S,"Satoransky S.FOUL (P5.PN) (E.Dalen)","I. Quickley",NYK,"T. Satoransky",WAS,E.Dalen,NO,"Contact is made as shooter is going up",2026-06-29T15:02:19.954Z
0022100288,499,4,PT10M29.00S,"Campazzo S.FOUL (P4.T1) (G.Petraitis)","K. Middleton",MIL,"F. Campazzo",DEN,G.Petraitis,NO,"Contact after shot but arm contact not related to landing zone",2026-06-29T15:03:16.908Z
0022400825,341,3,PT08M53.00S,"Wiggins S.FOUL (P1.T1) (M.Lindsay)","T. Young",ATL,"A. Wiggins",MIA,M.Lindsay,NO,"Reach-In/Contest/Rip-through",2026-06-29T15:03:34.668Z
0022001006,464,3,PT05M12.00S,"Forbes S.FOUL (P1.T3) (D.Taylor)","K. Olynyk",HOU,"B. Forbes",MIL,D.Taylor,NO,"Olynyk pumps defender into the air and jumps into them",2026-06-29T15:04:00.892Z
0022400493,199,2,PT08M45.00S,"Avdija S.FOUL (P2.T2) (D.Scott)","C. Cunningham",DET,"D. Avdija",POR,D.Scott,NO,"Contest level",2026-06-29T15:04:16.508Z
0022000061,386,3,PT05M42.00S,"Beverley S.FOUL (P3.T4) (S.Foster)","D. Lillard",POR,"P. Beverley",LAC,S.Foster,NO,"Contest level",2026-06-29T15:04:27.321Z
0022201129,22,1,PT10M10.00S,"LaVine S.FOUL (P1.T2) (R.Acosta)","E. Gordon",LAC,"Z. LaVine",CHI,R.Acosta,NO,"Gordon pumps defender into the air and jumps their shot into them",2026-06-29T15:04:48.154Z
0021900927,132,1,PT00M33.40S,"Green S.FOUL (P1.PN) (M.Davis)","L. Williams",LAC,"J. Green",HOU,M.Davis,NO,"Lou pumps defender into the air and launches shot while colliding",2026-06-29T15:05:15.268Z
0022200484,380,3,PT09M09.00S,"Siakam S.FOUL (P2.T2) (T.Ford)","K. Love",CLE,"P. Siakam",TOR,T.Ford,YES,"",2026-06-29T15:05:23.932Z
0022200592,308,2,PT00M00.20S,"Olynyk S.FOUL (P2.PN) (M.Smith)","Z. LaVine",CHI,"K. Olynyk",UTA,M.Smith,NO,"Contest level",2026-06-29T15:05:36.485Z
